st,g1,b1,b3,qntl,toe_SV,para_SV,sd_SV,mean.se_SV
c,-0.15,-0.4,-0.3,0.01,0.8652,-0.148769735,0.048840655,0.048592352
c,-0.15,-0.4,-0.3,0.2,0.8827,-0.150087082,0.047479972,0.04768032
c,-0.15,-0.4,-0.4,0.01,0.8789,-0.14877863,0.047303436,0.047325566
c,-0.15,-0.4,-0.4,0.2,0.8919,-0.150189173,0.046554981,0.047033227
c,-0.15,-0.4,-0.5,0.01,0.8947,-0.148771875,0.04580961,0.045813089
c,-0.15,-0.4,-0.5,0.2,0.8989,-0.150303419,0.046080324,0.046258694
c,-0.15,-0.4,-0.6,0.01,0.922,-0.149210366,0.043797152,0.044147914
c,-0.15,-0.4,-0.6,0.2,0.9075,-0.150203391,0.045190018,0.045396777
c,-0.15,-0.4,-0.7,0.01,0.9404,-0.149742404,0.04202843,0.04243054
c,-0.15,-0.4,-0.7,0.2,0.9187,-0.149986037,0.044669927,0.044491803
c,-0.15,-0.4,0.1,0.01,0.8438,-0.149552128,0.050802397,0.050350136
c,-0.15,-0.4,0.1,0.2,0.8734,-0.150318058,0.048242675,0.048444741
c,-0.15,-0.4,0.2,0.01,0.8478,-0.149816445,0.05003403,0.050063224
c,-0.15,-0.4,0.2,0.2,0.8743,-0.15006396,0.048295498,0.048192437
c,-0.15,-0.4,0.3,0.01,0.8527,-0.149680758,0.049983855,0.04965259
c,-0.15,-0.4,0.3,0.2,0.8764,-0.15000507,0.04801725,0.047822972
c,-0.15,-0.4,0.4,0.01,0.8603,-0.150369462,0.049574152,0.049180658
c,-0.15,-0.4,0.4,0.2,0.8836,-0.149731669,0.047573502,0.047370221
c,-0.15,-0.4,0.5,0.01,0.8719,-0.150801263,0.048660336,0.04869736
c,-0.15,-0.4,0.5,0.2,0.8899,-0.149670636,0.046825705,0.046872506
c,-0.15,-0.4,0.6,0.01,0.8816,-0.151198929,0.048171271,0.04820221
c,-0.15,-0.4,0.6,0.2,0.8998,-0.149748349,0.046180302,0.046347999
c,-0.15,-0.4,0.7,0.01,0.8874,-0.151194507,0.047489752,0.047710245
c,-0.15,-0.4,0.7,0.2,0.9045,-0.149698681,0.045688869,0.045816341
c,-0.15,-0.4,0,0.01,0.8402,-0.149606185,0.050995162,0.050415974
c,-0.15,-0.4,0,0.2,0.8699,-0.150025896,0.04853955,0.048538872
c,-0.15,0.4,-0.1,0.01,0.8383,-0.149436477,0.050484606,0.050450746
c,-0.15,0.4,-0.1,0.2,0.8754,-0.149793158,0.048207455,0.048416236
c,-0.15,0.4,-0.2,0.01,0.8536,-0.150138368,0.05005524,0.050140924
c,-0.15,0.4,-0.2,0.2,0.8792,-0.150130079,0.047640291,0.048116477
c,-0.15,0.4,-0.3,0.01,0.8616,-0.150377204,0.049404304,0.049464256
c,-0.15,0.4,-0.3,0.2,0.8863,-0.149981959,0.047307034,0.047653338
c,-0.15,0.4,-0.4,0.01,0.8766,-0.150644782,0.048418812,0.048485615
c,-0.15,0.4,-0.4,0.2,0.8885,-0.14964924,0.046931162,0.047049555
c,-0.15,0.4,-0.5,0.01,0.8901,-0.150231758,0.047022635,0.047262585
c,-0.15,0.4,-0.5,0.2,0.8979,-0.149688988,0.04625037,0.046366329
c,-0.15,0.4,-0.6,0.01,0.9078,-0.150180574,0.0457238,0.04587868
c,-0.15,0.4,-0.6,0.2,0.9082,-0.149992797,0.045628644,0.045620771
c,-0.15,0.4,-0.7,0.01,0.9299,-0.150094723,0.044054316,0.044440893
c,-0.15,0.4,-0.7,0.2,0.9151,-0.149945425,0.045008304,0.044857794
c,-0.15,0.4,0.1,0.01,0.8469,-0.14892539,0.05022437,0.050118276
c,-0.15,0.4,0.1,0.2,0.8773,-0.150356736,0.048282534,0.048480501
c,-0.15,0.4,0.2,0.01,0.8554,-0.149291479,0.049726587,0.049562423
c,-0.15,0.4,0.2,0.2,0.8795,-0.150454168,0.048202057,0.048241774
c,-0.15,0.4,0.3,0.01,0.8595,-0.149234485,0.048866197,0.048883226
c,-0.15,0.4,0.3,0.2,0.8835,-0.150295551,0.047749703,0.047859839
c,-0.15,0.4,0.4,0.01,0.8801,-0.149673409,0.047680396,0.048119092
c,-0.15,0.4,0.4,0.2,0.8878,-0.15032163,0.047275929,0.047370583
c,-0.15,0.4,0.5,0.01,0.8858,-0.149387473,0.04705395,0.047324001
c,-0.15,0.4,0.5,0.2,0.8927,-0.150338742,0.047041827,0.046810644
c,-0.15,0.4,0.6,0.01,0.8915,-0.149189456,0.0465375,0.046512454
c,-0.15,0.4,0.6,0.2,0.8989,-0.150205855,0.046543184,0.046208196
c,-0.15,0.4,0.7,0.01,0.9018,-0.14911216,0.045651249,0.045698819
c,-0.15,0.4,0.7,0.2,0.9045,-0.150104949,0.046063389,0.045589677
c,-0.15,0.4,0,0.01,0.8379,-0.148733595,0.049984024,0.050431997
c,-0.15,0.4,0,0.2,0.8745,-0.149850215,0.048340172,0.048542306
c,0.15,-0.4,-0.1,0.01,0.8453,0.150509622,0.051159925,0.050455873
c,0.15,-0.4,-0.1,0.2,0.8694,0.149688051,0.048625334,0.048421159
c,0.15,-0.4,-0.2,0.01,0.8536,0.150931195,0.050538005,0.050126674
c,0.15,-0.4,-0.2,0.2,0.8749,0.149689687,0.048103326,0.048117909
c,0.15,-0.4,-0.3,0.01,0.8625,0.150995331,0.049947199,0.049468403
c,0.15,-0.4,-0.3,0.2,0.8814,0.149655829,0.047572534,0.047654261
c,0.15,-0.4,-0.4,0.01,0.8777,0.15155953,0.048517812,0.048517482
c,0.15,-0.4,-0.4,0.2,0.8884,0.149852928,0.046805069,0.047066205
c,0.15,-0.4,-0.5,0.01,0.8938,0.151375063,0.047249703,0.047310884
c,0.15,-0.4,-0.5,0.2,0.8984,0.149780072,0.046315677,0.046370373
c,0.15,-0.4,-0.6,0.01,0.9118,0.151438189,0.045765807,0.045927358
c,0.15,-0.4,-0.6,0.2,0.9078,0.149842536,0.045539146,0.045622545
c,0.15,-0.4,-0.7,0.01,0.9274,0.150748099,0.044036431,0.044463227
c,0.15,-0.4,-0.7,0.2,0.9195,0.149897843,0.044752812,0.044858882
c,0.15,-0.4,0.1,0.01,0.8464,0.150513659,0.050443162,0.050090163
c,0.15,-0.4,0.1,0.2,0.8671,0.149749164,0.048520911,0.048475816
c,0.15,-0.4,0.2,0.01,0.8554,0.150068005,0.049497737,0.04954673
c,0.15,-0.4,0.2,0.2,0.8732,0.149810152,0.048287891,0.048235501
c,0.15,-0.4,0.3,0.01,0.8633,0.15036283,0.049322063,0.048851618
c,0.15,-0.4,0.3,0.2,0.8745,0.149963578,0.048165186,0.047853097
c,0.15,-0.4,0.4,0.01,0.8718,0.149939382,0.048851336,0.048081354
c,0.15,-0.4,0.4,0.2,0.8874,0.150242702,0.047456828,0.047363993
c,0.15,-0.4,0.5,0.01,0.8856,0.149767376,0.047648924,0.047278894
c,0.15,-0.4,0.5,0.2,0.8973,0.150433756,0.046758223,0.046797633
c,0.15,-0.4,0.6,0.01,0.8932,0.14952044,0.046776099,0.046469016
c,0.15,-0.4,0.6,0.2,0.9026,0.150346482,0.045992508,0.046203013
c,0.15,-0.4,0.7,0.01,0.9004,0.149382169,0.045816077,0.04566492
c,0.15,-0.4,0.7,0.2,0.9081,0.150427261,0.04554708,0.045591604
c,0.15,-0.4,0,0.01,0.8446,0.150397432,0.050994844,0.050415974
c,0.15,-0.4,0,0.2,0.8654,0.149868776,0.048545117,0.048539686
c,0.15,0.4,-0.1,0.01,0.8561,0.150595172,0.050209627,0.050175473
c,0.15,0.4,-0.1,0.2,0.8747,0.150271139,0.048393608,0.048449146
c,0.15,0.4,-0.2,0.01,0.8573,0.150213741,0.049329589,0.049571794
c,0.15,0.4,-0.2,0.2,0.8765,0.14988614,0.04763578,0.048164774
c,0.15,0.4,-0.3,0.01,0.8648,0.149685985,0.048803185,0.048587942
c,0.15,0.4,-0.3,0.2,0.8826,0.150001861,0.047320487,0.047688859
c,0.15,0.4,-0.4,0.01,0.8808,0.149522657,0.047385522,0.047287242
c,0.15,0.4,-0.4,0.2,0.8925,0.150289953,0.046894101,0.047030773
c,0.15,0.4,-0.5,0.01,0.901,0.149777973,0.045834527,0.045779821
c,0.15,0.4,-0.5,0.2,0.8999,0.150029363,0.046094342,0.046251924
c,0.15,0.4,-0.6,0.01,0.9278,0.15000667,0.043737181,0.044117809
c,0.15,0.4,-0.6,0.2,0.9092,0.150099812,0.045434535,0.045390593
c,0.15,0.4,-0.7,0.01,0.9424,0.150289745,0.042184844,0.042417305
c,0.15,0.4,-0.7,0.2,0.9187,0.149953143,0.044357242,0.044489901
c,0.15,0.4,0.1,0.01,0.8517,0.151154202,0.050369358,0.050377044
c,0.15,0.4,0.1,0.2,0.8714,0.149540705,0.04813789,0.048452436
c,0.15,0.4,0.2,0.01,0.8512,0.150754011,0.050126902,0.050087084
c,0.15,0.4,0.2,0.2,0.8747,0.149635009,0.047805199,0.048201554
c,0.15,0.4,0.3,0.01,0.8566,0.150894138,0.049741811,0.049679201
c,0.15,0.4,0.3,0.2,0.8811,0.149786292,0.047700461,0.047833434
c,0.15,0.4,0.4,0.01,0.8643,0.150655499,0.049095512,0.049208994
c,0.15,0.4,0.4,0.2,0.8871,0.149801831,0.047241206,0.047379476
c,0.15,0.4,0.5,0.01,0.8751,0.150996494,0.048634241,0.048737596
c,0.15,0.4,0.5,0.2,0.8906,0.149667311,0.04706343,0.04687761
c,0.15,0.4,0.6,0.01,0.8844,0.151316876,0.048270885,0.048247616
c,0.15,0.4,0.6,0.2,0.8939,0.149788524,0.046904819,0.046351811
c,0.15,0.4,0.7,0.01,0.8886,0.151419644,0.047989445,0.047758604
c,0.15,0.4,0.7,0.2,0.901,0.149884638,0.04651371,0.045814322
c,0.15,0.4,0,0.01,0.855,0.151271001,0.049984743,0.050432002
c,0.15,0.4,0,0.2,0.8734,0.150044724,0.048331607,0.048541499
c,0,-0.4,-0.1,0.01,0.0543,0.000608295,0.050891542,0.050315153
c,0,-0.4,-0.1,0.2,0.0517,-0.00040963,0.048570969,0.048437695
c,0,-0.4,-0.2,0.01,0.0547,0.001148305,0.050254581,0.049828774
c,0,-0.4,-0.2,0.2,0.0519,-0.000252499,0.04830997,0.04814302
c,0,-0.4,-0.3,0.01,0.0535,0.000911027,0.04937076,0.048996961
c,0,-0.4,-0.3,0.2,0.0487,-0.000204982,0.047407071,0.04766848
c,0,-0.4,-0.4,0.01,0.0533,0.001303759,0.048054569,0.047871468
c,0,-0.4,-0.4,0.2,0.0506,-0.000172207,0.046809935,0.047044867
c,0,-0.4,-0.5,0.01,0.0476,0.001611003,0.046389648,0.046483634
c,0,-0.4,-0.5,0.2,0.0496,-0.000427428,0.046275074,0.046307655
c,0,-0.4,-0.6,0.01,0.0497,0.000935239,0.044600871,0.04492954
c,0,-0.4,-0.6,0.2,0.0473,-0.000285707,0.045285967,0.045498776
c,0,-0.4,-0.7,0.01,0.052,0.000730502,0.042971323,0.043311576
c,0,-0.4,-0.7,0.2,0.0476,-0.000217129,0.044494964,0.044658605
c,0,-0.4,0.1,0.01,0.051,0.000457559,0.050659201,0.050216347
c,0,-0.4,0.1,0.2,0.0483,-0.000289864,0.048359694,0.048461054
c,0,-0.4,0.2,0.01,0.0504,0.000153043,0.049857242,0.049791125
c,0,-0.4,0.2,0.2,0.0503,-0.000218992,0.048214478,0.048214561
c,0,-0.4,0.3,0.01,0.0542,0.000200354,0.049707899,0.04922516
c,0,-0.4,0.3,0.2,0.0504,-4.93E-05,0.04815046,0.047841837
c,0,-0.4,0.4,0.01,0.0525,-1.45E-05,0.048965445,0.048582432
c,0,-0.4,0.4,0.2,0.0511,0.000184633,0.047362214,0.047365962
c,0,-0.4,0.5,0.01,0.0517,-0.000423752,0.048221125,0.047913576
c,0,-0.4,0.5,0.2,0.051,0.000331927,0.046756678,0.046830628
c,0,-0.4,0.6,0.01,0.05,-0.000848467,0.04700623,0.047233097
c,0,-0.4,0.6,0.2,0.0499,0.000301654,0.046111836,0.046264195
c,0,-0.4,0.7,0.01,0.0518,-0.000894992,0.04670604,0.046541702
c,0,-0.4,0.7,0.2,0.0498,0.000285865,0.045724563,0.045690622
